 Cluster             RA        DEC       l       b       Rsun  ERsun    R_GC   <RV>   ERV        mualpha        mu_delta  rhopmrade   X      DX      Y      DY      Z      DZ        U      DU        V       DV         W      DW       RPERI           RAPO\
  Name                                                      [kpc]       [kpc] [km/s] [km/s]     [mas/yr]        [mas/yr]            [kpc]   [kpc]  [kpc]   [kpc]  [kpc]  [kpc]    [km/s]  [km/s]    [km/s]  [km/s]    [km/s]  [km/s]     [kpc]          [kpc]\
NGC_5694        219.901245 -26.538776 331.056  30.360   34.84   0.74   29.16 -139.55  0.49   -0.464  0.029   -1.105  0.029  -0.06  -18.13   0.56  -14.55   0.31   17.61   0.37   113.02    3.18    145.84    4.37   -171.34    4.16    2.96  0.33    59.72   1.69\
IC_4499         225.077188 -82.213792 307.354 -20.473   18.89   0.25   15.75   38.41  0.31    0.466  0.025   -0.489  0.025   0.01   -2.56   0.14  -14.07   0.19   -6.61   0.09   -31.40    1.88    248.38    1.53    -61.35    2.11    6.77  0.23    28.82   0.63\
NGC_5824        225.994156 -33.068138 332.555  22.071   31.71   0.60   25.42  -25.24  0.52   -1.189  0.026   -2.234  0.026  -0.02  -17.90   0.49  -13.55   0.26   11.92   0.23    97.02    2.26    -61.72    3.52   -180.15    3.62   13.82  1.07    34.75   1.43\
Pal_5           229.019167  -0.121000   0.839  45.856   21.94   0.51   17.27  -58.61  0.15   -2.730  0.028   -2.654  0.027   0.00   -7.10   0.36    0.22   0.01   15.74   0.37    47.44    2.05   -143.31    2.85    -12.00    1.99    8.71  0.00    17.56   0.00\
NGC_5897        229.351659 -21.010122 342.946  30.294   12.55   0.24    7.41  101.31  0.22   -5.422  0.025   -3.393  0.025  -0.01   -2.18   0.19   -3.18   0.06    6.33   0.12    34.74    0.87   -129.66    1.45     91.38    1.30    2.49  0.25     8.88   0.32\
NGC_5904        229.638412   2.081028   3.859  46.796    7.48   0.06    6.27   53.50  0.25    4.086  0.023   -9.870  0.023  -0.01    3.07   0.04    0.34   0.00    5.45   0.04  -301.63    0.62     90.00    0.82   -181.34    0.59    2.84  0.03    23.49   0.54\
NGC_5927        232.002869 -50.673031 326.604   4.860    8.27   0.11    4.77 -104.09  0.28   -5.056  0.025   -3.217  0.025  -0.01    1.30   0.09   -4.54   0.06    0.70   0.01   205.28    0.59    113.63    0.83      6.03    0.97    4.03  0.02     5.46   0.07\
NGC_5946        233.869051 -50.659713 327.583   4.191    9.64   0.51    5.20  137.60  0.94   -5.331  0.028   -1.657  0.027  -0.01    0.06   0.43   -5.16   0.27    0.70   0.04     7.74    1.05    -22.33    1.17     98.37    1.24    0.49  0.15     5.18   0.36\
NGC_5986        236.512497 -37.786415 337.022  13.268   10.54   0.13    4.85  101.18  0.43   -4.192  0.026   -4.568  0.026  -0.01   -1.27   0.12   -4.00   0.05    2.42   0.03     8.44    0.69    -72.44    1.20    -13.14    1.26    0.56  0.09     5.05   0.09\
FSR_1716        242.625000 -53.748889 329.778  -1.593    7.43   0.27    4.14  -30.70  0.98   -4.354  0.033   -8.832  0.031  -0.00    1.76   0.23   -3.74   0.13   -0.21   0.01   181.46    1.02    -10.51    1.09   -115.81    1.14    2.30  0.10     4.93   0.12\
Pal_14          242.752500  14.957778  28.746  42.192   73.58   1.63   68.55   72.30  0.14   -0.463  0.038   -0.413  0.038   0.12  -39.62   1.06   26.22   0.58   49.42   1.09   -98.60   10.08     76.54   12.40    123.48    9.88    2.95  1.41    99.43   2.51\
Lynga_7         242.765213 -55.317776 328.769  -2.797    7.90   0.16    4.35   17.86  0.83   -3.851  0.027   -7.050  0.027   0.02    1.43   0.14   -4.09   0.08   -0.39   0.01   125.61    0.88      1.31    0.96    -88.36    1.02    1.75  0.06     4.42   0.06\
NGC_6093        244.260040 -22.976084 352.673  19.463   10.34   0.12    3.95   10.93  0.39   -2.934  0.027   -5.578  0.026  -0.01   -1.49   0.11   -1.24   0.01    3.44   0.04    -9.16    0.59    -48.75    1.29    -63.13    1.23    0.87  0.07     4.07   0.07\
NGC_6121        245.896744 -26.525749 350.973  15.972    1.85   0.02    6.45   71.21  0.15  -12.514  0.023  -19.022  0.023  -0.02    6.42   0.02   -0.28   0.00    0.51   0.00   -56.20    0.16     45.24    0.20     -3.06    0.20    0.68  0.07     6.44   0.11\
NGC_6101        246.450485 -72.202194 317.746 -15.825   14.45   0.19   10.36  366.33  0.32    1.756  0.024   -0.258  0.025   0.00   -2.11   0.13   -9.35   0.12   -3.94   0.05  -296.68    1.20     83.53    1.28   -190.13    1.60   10.20  0.14    35.65   1.19\
NGC_6144        246.807770 -26.023500 351.929  15.701    8.15   0.13    2.50  194.79  0.58   -1.744  0.026   -2.607  0.026  -0.00    0.41   0.12   -1.10   0.02    2.21   0.03  -184.35    0.63    106.43    0.99     44.02    0.99    1.90  0.10     3.13   0.05\
NGC_6139        246.918466 -38.848782 342.366   6.939   10.04   0.45    3.51   24.41  0.95   -6.081  0.027   -2.711  0.026   0.01   -1.32   0.43   -3.02   0.14    1.21   0.05    68.41    0.98    -29.53    1.23    130.59    1.25    1.34  0.26     3.63   0.34\
Ter_3           247.162483 -35.339829 345.084   9.199    7.64   0.31    2.46 -135.76  0.57   -5.577  0.027   -1.760  0.026   0.01    0.89   0.30   -1.94   0.08    1.22   0.05   181.99    0.62    112.92    0.93     88.73    0.95    2.39  0.06     2.88   0.08\
NGC_6171        248.132752 -13.053778   3.373  23.011    5.63   0.08    3.74  -34.71  0.18   -1.939  0.025   -5.979  0.025   0.00    3.00   0.07    0.30   0.00    2.20   0.03   -10.27    0.31     93.66    0.67    -57.63    0.62    1.22  0.04     3.83   0.03\
ESO_452-SC11    249.854167 -28.399167 351.909  12.098    7.39   0.20    2.12   16.37  0.44   -1.423  0.031   -6.472  0.030  -0.06    1.03   0.19   -1.02   0.03    1.55   0.04   -20.55    0.51     43.58    1.07    -95.31    1.07    0.40  0.13     2.33   0.13\
